# iso.me Combined Export
# Generated: 2026-04-30T23:35:26.427Z

# VISITS (3)
arrived_at,departed_at,duration_minutes,latitude,longitude,location_name,address,notes
2026-04-30T14:06:31.000Z,,,18.327441417052285,-67.22082628555923,Puerto Rico,"Carretera el Coqui, Rincón, PR, 00677",
2026-04-30T12:34:53.000Z,,,18.320335365484127,-67.24054450543272,Puerto Rico,"PR-115, Rincón, PR, 00677",
2026-04-30T12:34:53.000Z,2026-04-30T13:59:12.999Z,84.3,18.32001149291567,-67.2405893374093,Puerto Rico,"PR-115, Rincón, PR, 00677",

# LOCATION POINTS (1591)
timestamp,timestamp_unix,latitude,longitude,altitude,speed,horizontal_accuracy,is_outlier
2026-04-30T13:53:22.000Z,1777557202.000,18.321156522745202,-67.24186378624016,5.28,3.13,2.1667893096807873,false
2026-04-30T13:53:25.000Z,1777557205.000,18.321134186524755,-67.24191094012119,4.05,2.02,2.1606339148573492,false
2026-04-30T13:53:27.000Z,1777557207.000,18.321068272885224,-67.24194820620441,4.35,3.61,2.144972074188672,false
2026-04-30T13:53:29.000Z,1777557209.000,18.32103535012345,-67.24198460854885,5.22,3.20,2.145973564891919,false
2026-04-30T13:53:31.000Z,1777557211.000,18.320986498499575,-67.2420342117872,4.14,3.46,2.131741135338139,false
2026-04-30T13:53:33.000Z,1777557213.000,18.320943544670126,-67.24208980030195,2.74,3.76,2.160833891581272,false
2026-04-30T13:53:35.000Z,1777557215.000,18.32091348009227,-67.24213552912441,2.91,3.67,2.206634243127069,false
2026-04-30T13:53:37.000Z,1777557217.000,18.320877373594975,-67.24217772326585,3.67,3.49,2.2107939240767682,false
2026-04-30T13:53:39.000Z,1777557219.000,18.320844824405476,-67.24222280486673,4.23,3.30,2.2156188367888157,false
2026-04-30T13:53:41.000Z,1777557221.000,18.320811924955496,-67.24226999607193,4.22,3.47,2.240151492050115,false
2026-04-30T13:53:43.000Z,1777557223.000,18.320774116810405,-67.24230601884389,4.88,3.42,2.2648534518632526,false
2026-04-30T13:53:46.000Z,1777557226.000,18.320726229041824,-67.24235931165528,4.45,2.84,2.2350854444583597,false
2026-04-30T13:53:48.000Z,1777557228.000,18.32069982778713,-67.24241069356302,4.11,2.98,2.2628519319664733,false
2026-04-30T13:53:50.000Z,1777557230.000,18.320662065849337,-67.2424485406433,4.40,2.74,2.2670238181544784,false
2026-04-30T13:53:52.000Z,1777557232.000,18.32062028076344,-67.24248681247666,3.68,2.59,2.2613336184977677,false
2026-04-30T13:53:53.000Z,1777557233.000,18.320578233035274,-67.24250501934567,4.58,3.63,2.2728762491790535,false
2026-04-30T13:53:55.000Z,1777557235.000,18.320527209791596,-67.24252375731076,5.06,3.47,2.2910055469247492,false
2026-04-30T13:53:58.000Z,1777557238.000,18.32044954700851,-67.2425517463003,4.81,3.50,2.278620803448033,false
2026-04-30T13:54:00.000Z,1777557240.000,18.320399192022478,-67.24254582101767,4.09,3.17,2.351466671673728,false
2026-04-30T13:54:02.000Z,1777557242.000,18.320351933362808,-67.24254912205907,3.82,2.69,2.330959538919317,false
2026-04-30T13:54:04.000Z,1777557244.000,18.320302480072808,-67.24253774278063,2.93,2.76,2.320377322040782,false
2026-04-30T13:54:06.000Z,1777557246.000,18.32024558430147,-67.24250390620017,3.74,3.20,2.354319661151683,false
2026-04-30T13:54:08.000Z,1777557248.000,18.320195928210516,-67.24248168754879,4.21,2.81,2.36702760468462,false
2026-04-30T13:54:10.000Z,1777557250.000,18.320146434741883,-67.24244877565307,3.74,3.02,2.3608745964967914,false
2026-04-30T13:54:12.000Z,1777557252.000,18.320105421762687,-67.24239871102874,4.68,2.91,2.3696761941001445,false
2026-04-30T13:54:14.000Z,1777557254.000,18.320093197042002,-67.2423384989466,3.91,2.48,2.3877802766586202,false
